author,published_at,text
@zhaksig2xs,2025-10-02T13:50:13Z,mbg mur baut paku obeng palu paku ada ga gw nyari kaga ada
@love-Adnan,2025-10-02T13:13:14Z,MBG=makan beracun gratis
@alan-b7w9u,2025-10-02T12:59:47Z,MBG:MAKANAN BERACUN GRATIS
@snckun2359,2025-10-02T12:22:21Z,"Di wilayah gua allhamdulilah makanannya bikin nagih teruss , 🤤"
@indo_tiga,2025-10-02T12:21:08Z,POV sekolah gua yg belum dapet MBG bilek<br><br>&quot;Mo seneng atau sedih ya?&quot;
@faisalakbar6187,2025-10-02T11:47:30Z,Masalahnya MBG yang bagus itu yang di kota atau yang sedang di awasi 😭😭😭
@BasukiLa-m2r,2025-10-02T11:22:40Z,Kok yg disalahkan MBG nya.<br><br>Guobloggggg..<br><br>Tangkap yg nilep duit MBG nya cok guobloggggg.<br><br><br>Prabowo presiden terbaik sepanjang masa
@ihdasafiraofficial9617,2025-10-02T11:18:00Z,"sekolah aku kok blm dpt mbg yh, padahal aku d medan kota, apa krn swasta?"
@kreatore-s5o,2025-10-02T10:59:13Z,Di daerah gua MBG nya dikit trus kadang basi 😂
@isackxds7519,2025-10-02T10:46:57Z,Gacoan ? Bagus ? Ha ???
@AlvinVin-z2s5o,2025-10-02T10:38:54Z,Kami belum ada jir
@BangArfan30,2025-10-02T09:54:59Z,dapur mbg gak tuh😂😂
@mijekurtkoben5511,2025-10-02T09:51:49Z,"haha makan beracun gratis, smga konoha bakal berubah lebih baik, kami di sini selalu doakan kalian di sana"
@BEAT_PIXEL355,2025-10-02T09:38:11Z,MBG❎<br>MPG/Makan Plankton Geratis✅
@kenzieyasajulio7912,2025-10-02T09:31:10Z,Gw gk mau makan bergizi gratis
@Loid_Editz_09,2025-10-02T09:13:23Z,Emang kok gara gara itu banyak <br>Hampir ke tempat saya 🥲
@frankywijaya2696,2025-10-02T09:08:04Z,PENTING APA YAAAA. OK GAS OK GAS OK GAS
@nusantarahelm8779,2025-10-02T08:49:35Z,Maaf maaf aja yang salah tetep pemerintah... salahnya adalah tidak bijak dan tidak cerdas. Karena beliau meluncurkan program MBG tanpa menuntaskan masalah korupsi terlebih dahulu. Kalo koruptor dihukum mati maka MBG dan program lainnya akan berjalan lancar ❤
@DeriLampung-z6r,2025-10-02T08:40:20Z,Bang aku aja aman bang mbg nya
@KhusenAhmad-z8u,2025-10-02T07:52:43Z,Masih bersyukur di kasih semangka tipis. <br>Udah gratismasih mau ukuran besar kah..?
@its_farachannel,2025-10-02T07:17:10Z,Lahhh ituu mie gacoan yang gw makan tadii pas di sekolah ada mbg
@WayanDedi-rb1ee,2025-10-02T07:14:35Z,Sudah pasti bang
